index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,X_rotate,Y_rotate,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
238,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[148, 157, 166, 175, 184, 193, 202, 211, 220, 229]",-4298.64680416,862.719602937,26.698,12.4442479567,149.212167599,-139.122725058,-53.9364286169,0.0,no cnx,,,,
239,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[149, 158, 167, 176, 185, 194, 203, 212, 221, 230]",-4228.03148804,899.212081737,26.698,12.4442479567,69.7319097572,-64.7526589745,-25.8772563097,0.0,no cnx,,,,
240,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[150, 159, 168, 177, 186, 195, 204, 213, 222, 231]",-4264.28700269,925.041173875,26.698,12.4442479567,98.9392715824,-69.8175773086,-70.103390503,0.0,no cnx,,,,
241,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[151, 160, 169, 178, 187, 196, 205, 214, 223, 232]",-4237.98398226,976.225429856,26.698,12.4442479567,85.9827276537,-14.1801063187,-84.8053892129,0.0,no cnx,,,,
242,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[152, 161, 170, 179, 188, 197, 206, 215, 224, 233]",-4187.74758287,969.353469562,26.698,12.4442479567,45.2049096409,14.327744332,-42.8742299989,0.0,tbd,,,,
243,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[153, 162, 171, 180, 189, 198, 207, 216, 225, 234]",-4174.95151887,959.87490364,26.698,12.4442479567,31.3259075279,15.846035174,-27.0225026915,0.0,no cnx,,,,
244,TSeries-09152017-1301-146_Cycle00002_MarkPoints.xml,5.0,"[154, 163, 172, 181, 190, 199, 208, 217, 226, 235]",-4150.54421162,978.595071336,26.698,12.4442479567,50.8198330508,46.0895072294,-21.4105757668,0.0,no cnx,,,,
245,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[263, 269, 275, 281, 287, 293, 299, 305, 311, 317]",-4227.29072475,950.803722056,26.698,12.4442479567,49.4545936907,-1.77237107135,-49.4228240583,0.0,no cnx,,,,
247,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[265, 271, 277, 283, 289, 295, 301, 307, 313, 319]",-4236.05839823,910.282852738,26.698,12.4442479567,47.4981616055,-37.7519640994,-28.8247213783,0.0,no cnx,,,,
248,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[266, 272, 278, 284, 290, 296, 302, 308, 314, 320]",-4158.09719352,993.457268706,26.698,12.4442479567,80.7140378498,76.2249009198,-26.5428028998,0.0,no cnx,,,,
249,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[267, 273, 279, 285, 291, 297, 303, 309, 315, 321]",-4136.77042019,1022.36689477,26.698,12.4442479567,115.938205725,111.979336702,-30.0382372762,0.0,no cnx,,,,
250,TSeries-09152017-1301-263_Cycle00002_MarkPoints.xml,5.0,"[268, 274, 280, 286, 292, 298, 304, 310, 316, 322]",-4110.23043561,1060.04419431,26.698,12.4442479567,161.688922896,157.73774287,-35.5262193534,0.0,no cnx,,,,
251,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[296, 305, 314, 323, 332, 341, 350, 359, 368, 377]",-4231.58018311,948.992829611,26.698,12.4442479567,52.9385543866,-4.45035174424,-52.7511602706,0.0,no cnx,,,,
253,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[298, 307, 316, 325, 334, 343, 352, 361, 370, 379]",-4175.41968002,964.632463383,26.698,12.4442479567,49.6393230368,44.7508726513,-21.4807306323,0.0,no cnx,,,,
254,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[299, 308, 317, 326, 335, 344, 353, 362, 371, 380]",-4160.0170104,1050.17652083,26.698,12.4442479567,136.376933212,118.628893959,-67.2744634339,0.0,no cnx,,,,
255,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[300, 309, 318, 327, 336, 345, 354, 363, 372, 381]",-4148.168803,1079.32311104,26.698,12.4442479567,167.475323199,148.217029859,-77.9724049925,0.0,no cnx,,,,
256,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[301, 310, 319, 328, 337, 346, 355, 364, 373, 382]",-4129.21167115,1033.58903047,26.698,12.4442479567,131.206259182,126.914781657,-33.2824374899,0.0,no cnx,,,,
257,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[302, 311, 320, 329, 338, 347, 356, 365, 374, 383]",-4110.01757516,1020.79296647,26.698,12.4442479567,130.667841329,130.248810003,-10.4562063132,0.0,no cnx,,,,
258,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[303, 312, 321, 330, 339, 348, 357, 366, 375, 384]",-4076.13170199,1032.64117388,26.698,12.4442479567,161.870624077,161.727818888,6.79790678771,0.0,no cnx,,,,
259,TSeries-09152017-1301-296_Cycle00002_MarkPoints.xml,5.0,"[304, 313, 322, 331, 340, 349, 358, 367, 376, 385]",-4066.17920777,1021.74082306,26.698,12.4442479567,161.720696278,160.286798079,21.4878097141,0.0,no cnx,,,,
260,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[386, 396, 406, 416, 426, 436, 446, 456, 466, 476]",-4192.58109868,983.33070933,26.698,12.4442479567,59.80934943,21.4806043719,-55.8188311868,0.0,no cnx,,,,
261,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[387, 397, 407, 417, 427, 437, 447, 457, 467, 477]",-4200.87484387,999.918199694,26.698,12.4442479567,78.3544047548,28.2579132609,-73.0814824879,0.0,no cnx,,,,
262,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[388, 398, 408, 418, 428, 438, 448, 458, 468, 478]",-4187.13092328,1039.49121242,26.698,12.4442479567,111.595603362,66.8628708128,-89.3472730221,0.0,no cnx,,,,
263,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[389, 399, 409, 419, 429, 439, 449, 459, 469, 479]",-4186.42003084,1069.11173093,26.698,12.4442479567,140.662742509,89.3508857615,-108.63897249,0.0,no cnx,,,,
264,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[390, 400, 410, 420, 430, 440, 450, 460, 470, 480]",-4202.29662876,1112.95009832,26.698,12.4442479567,186.602110212,111.305624052,-149.771177434,0.0,no cnx,,,,
265,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[391, 401, 411, 421, 431, 441, 451, 461, 471, 481]",-4061.53992481,1154.89275252,26.698,12.4442479567,247.731687665,236.659709153,-73.2336748868,0.0,no cnx,,,,
266,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[392, 402, 412, 422, 432, 442, 452, 462, 472, 482]",-4149.69058789,1112.00224172,26.698,12.4442479567,182.667889972,145.801541355,-110.043030517,0.0,no cnx,,,,
267,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[393, 403, 413, 423, 433, 443, 453, 463, 473, 483]",-4110.35453931,1056.07870278,26.698,12.4442479567,137.584469659,130.563206805,-43.3904980408,0.0,no cnx,,,,
268,TSeries-09152017-1301-386_Cycle00002_MarkPoints.xml,5.0,"[394, 404, 414, 424, 434, 444, 454, 464, 474, 484]",-4091.87133576,1072.429229,26.698,12.4442479567,160.306959036,155.081692954,-40.5954384867,0.0,no cnx,,,,
